Key,Time(2025-04-22),mask,F8P
1745273501,06:11:41,1,0.173
1745273502,06:11:42,1,0.172
1745273503,06:11:43,1,0.173
1745273504,06:11:44,1,0.171
1745273505,06:11:45,1,0.172
1745273506,06:11:46,1,0.173
1745273507,06:11:47,1,0.173
1745273508,06:11:48,1,0.173
1745273509,06:11:49,1,0.172
1745273510,06:11:50,1,0.174
1745273511,06:11:51,1,0.172
1745273512,06:11:52,1,0.171
1745273513,06:11:53,1,0.173
1745273514,06:11:54,1,0.172
1745273515,06:11:55,1,0.173
1745273516,06:11:56,1,0.173
1745273517,06:11:57,1,0.174
1745273518,06:11:58,1,0.173
1745273519,06:11:59,1,0.173
1745273520,06:12:00,1,0.174
1745273521,06:12:01,1,0.174
1745273522,06:12:02,1,0.173
1745273523,06:12:03,1,0.173
1745273524,06:12:04,1,0.173
1745273525,06:12:05,1,0.174
1745273526,06:12:06,1,0.173
1745273527,06:12:07,1,0.174
1745273528,06:12:08,1,0.174
1745273529,06:12:09,1,0.173
1745273530,06:12:10,1,0.173
1745273531,06:12:11,1,0.174
1745273532,06:12:12,1,0.174
1745273533,06:12:13,1,0.174
1745273534,06:12:14,1,0.174
1745273535,06:12:15,1,0.173
1745273536,06:12:16,1,0.173
1745273537,06:12:17,1,0.173
1745273538,06:12:18,1,0.174
1745273539,06:12:19,1,0.173
1745273540,06:12:20,1,0.174
1745273541,06:12:21,1,0.174
1745273542,06:12:22,1,0.175
1745273543,06:12:23,1,0.174
1745273544,06:12:24,1,0.175
1745273545,06:12:25,1,0.173
1745273546,06:12:26,1,0.174
1745273547,06:12:27,1,0.173
1745273548,06:12:28,1,0.175
1745273549,06:12:29,1,0.175
1745273550,06:12:30,1,0.174
1745273551,06:12:31,1,0.175
1745273552,06:12:32,1,0.175
1745273553,06:12:33,1,0.175
1745273554,06:12:34,1,0.175
1745273555,06:12:35,1,0.174
1745273556,06:12:36,1,0.174
1745273557,06:12:37,1,0.175
1745273558,06:12:38,1,0.175
1745273559,06:12:39,1,0.174
1745273560,06:12:40,1,0.175
1745273561,06:12:41,1,0.177
1745273562,06:12:42,1,0.175
1745273563,06:12:43,1,0.176
1745273564,06:12:44,1,0.175
1745273565,06:12:45,1,0.175
1745273566,06:12:46,1,0.175
1745273567,06:12:47,1,0.174
1745273568,06:12:48,1,0.175
1745273569,06:12:49,1,0.176
1745273570,06:12:50,1,0.176
1745273571,06:12:51,1,0.176
1745273572,06:12:52,1,0.175
1745273573,06:12:53,1,0.175
1745273574,06:12:54,1,0.175
1745273575,06:12:55,1,0.175
1745273576,06:12:56,1,0.174
1745273577,06:12:57,1,0.175
1745273578,06:12:58,1,0.176
1745273579,06:12:59,1,0.177
1745273580,06:13:00,1,0.177
1745273581,06:13:01,1,0.180
1745273582,06:13:02,1,0.179
1745273583,06:13:03,1,0.180
1745273584,06:13:04,1,0.184
1745273585,06:13:05,1,0.188
1745273586,06:13:06,1,0.191
1745273587,06:13:07,1,0.194
1745273588,06:13:08,1,0.197
1745273589,06:13:09,1,0.197
1745273590,06:13:10,1,0.199
1745273591,06:13:11,1,0.198
1745273592,06:13:12,1,0.203
1745273593,06:13:13,1,0.202
1745273594,06:13:14,1,0.204
1745273595,06:13:15,1,0.187
1745273596,06:13:16,1,0.191
1745273597,06:13:17,1,0.192
1745273598,06:13:18,1,0.189
1745273599,06:13:19,1,0.191
1745273600,06:13:20,1,0.193
1745273601,06:13:21,1,0.193
1745273602,06:13:22,1,0.195
1745273603,06:13:23,1,0.195
1745273604,06:13:24,1,0.195
1745273605,06:13:25,1,0.195
1745273606,06:13:26,1,0.197
1745273607,06:13:27,1,0.211
