Key,Time(2025-04-22),mask,F8P
1745273393,06:09:53,1,38
1745273394,06:09:54,1,38
1745273395,06:09:55,1,38
1745273396,06:09:56,1,38
1745273397,06:09:57,1,38
1745273398,06:09:58,1,38
1745273399,06:09:59,1,38
1745273400,06:10:00,1,38
1745273401,06:10:01,1,38
1745273402,06:10:02,1,38
1745273403,06:10:03,1,38
1745273404,06:10:04,1,38
1745273405,06:10:05,1,38
1745273406,06:10:06,1,38
1745273407,06:10:07,1,38
1745273408,06:10:08,1,38
1745273409,06:10:09,1,38
1745273410,06:10:10,1,38
1745273411,06:10:11,1,38
1745273412,06:10:12,1,38
1745273413,06:10:13,1,38
1745273414,06:10:14,1,38
1745273415,06:10:15,1,38
1745273416,06:10:16,1,38
1745273417,06:10:17,1,38
1745273418,06:10:18,1,38
1745273419,06:10:19,1,38
1745273420,06:10:20,1,38
1745273421,06:10:21,1,38
1745273422,06:10:22,1,38
1745273423,06:10:23,1,38
1745273424,06:10:24,1,38
1745273425,06:10:25,1,38
1745273426,06:10:26,1,38
1745273427,06:10:27,1,38
1745273428,06:10:28,1,38
1745273429,06:10:29,1,38
1745273430,06:10:30,1,38
1745273431,06:10:31,1,38
1745273432,06:10:32,1,38
1745273433,06:10:33,1,38
1745273434,06:10:34,1,38
1745273435,06:10:35,1,38
1745273436,06:10:36,1,38
1745273437,06:10:37,1,38
1745273438,06:10:38,1,38
1745273439,06:10:39,1,38
1745273440,06:10:40,1,38
1745273441,06:10:41,1,38
1745273442,06:10:42,1,38
1745273443,06:10:43,1,38
1745273444,06:10:44,1,38
1745273445,06:10:45,1,38
1745273446,06:10:46,1,38
1745273447,06:10:47,1,38
1745273448,06:10:48,1,38
1745273449,06:10:49,1,38
1745273450,06:10:50,1,38
1745273451,06:10:51,1,38
1745273452,06:10:52,1,38
1745273453,06:10:53,1,38
1745273454,06:10:54,1,38
1745273455,06:10:55,1,38
1745273456,06:10:56,1,38
1745273457,06:10:57,1,38
1745273458,06:10:58,1,38
1745273459,06:10:59,1,38
1745273460,06:11:00,1,38
1745273461,06:11:01,1,38
1745273462,06:11:02,1,38
1745273463,06:11:03,1,38
1745273464,06:11:04,1,38
1745273465,06:11:05,1,38
1745273466,06:11:06,1,38
1745273467,06:11:07,1,38
1745273468,06:11:08,1,38
1745273469,06:11:09,1,38
1745273470,06:11:10,1,38
1745273471,06:11:11,1,38
1745273472,06:11:12,1,38
1745273473,06:11:13,1,38
1745273474,06:11:14,1,38
1745273475,06:11:15,1,38
1745273476,06:11:16,1,38
1745273477,06:11:17,1,38
1745273478,06:11:18,1,38
1745273479,06:11:19,1,38
1745273480,06:11:20,1,38
1745273481,06:11:21,1,38
1745273482,06:11:22,1,38
1745273483,06:11:23,1,38
1745273484,06:11:24,1,38
1745273485,06:11:25,1,38
1745273486,06:11:26,1,38
1745273487,06:11:27,1,38
1745273488,06:11:28,1,38
1745273489,06:11:29,1,38
1745273490,06:11:30,1,38
1745273491,06:11:31,1,38
1745273492,06:11:32,1,38
1745273493,06:11:33,1,38
1745273494,06:11:34,1,38
1745273495,06:11:35,1,38
1745273496,06:11:36,1,38
1745273497,06:11:37,1,38
1745273498,06:11:38,1,38
1745273499,06:11:39,1,38
1745273500,06:11:40,1,38
1745273501,06:11:41,1,38
1745273502,06:11:42,1,38
1745273503,06:11:43,1,38
1745273504,06:11:44,1,38
1745273505,06:11:45,1,38
1745273506,06:11:46,1,38
1745273507,06:11:47,1,38
1745273508,06:11:48,1,38
1745273509,06:11:49,1,38
1745273510,06:11:50,1,38
1745273511,06:11:51,1,38
1745273512,06:11:52,1,38
1745273513,06:11:53,1,38
1745273514,06:11:54,1,38
1745273515,06:11:55,1,38
1745273516,06:11:56,1,38
1745273517,06:11:57,1,38
1745273518,06:11:58,1,38
1745273519,06:11:59,1,38
1745273520,06:12:00,1,38
1745273521,06:12:01,1,38
1745273522,06:12:02,1,38
1745273523,06:12:03,1,38
1745273524,06:12:04,1,38
1745273525,06:12:05,1,38
1745273526,06:12:06,1,38
1745273527,06:12:07,1,38
1745273528,06:12:08,1,38
1745273529,06:12:09,1,38
1745273530,06:12:10,1,38
1745273531,06:12:11,1,38
1745273532,06:12:12,1,38
1745273533,06:12:13,1,38
1745273534,06:12:14,1,38
1745273535,06:12:15,1,38
1745273536,06:12:16,1,38
1745273537,06:12:17,1,38
1745273538,06:12:18,1,38
1745273539,06:12:19,1,38
1745273540,06:12:20,1,38
1745273541,06:12:21,1,38
1745273542,06:12:22,1,38
1745273543,06:12:23,1,38
1745273544,06:12:24,1,38
1745273545,06:12:25,1,38
1745273546,06:12:26,1,38
1745273547,06:12:27,1,38
1745273548,06:12:28,1,38
1745273549,06:12:29,1,38
1745273550,06:12:30,1,38
1745273551,06:12:31,1,38
1745273552,06:12:32,1,38
1745273553,06:12:33,1,38
1745273554,06:12:34,1,38
1745273555,06:12:35,1,38
1745273556,06:12:36,1,38
1745273557,06:12:37,1,38
1745273558,06:12:38,1,39
1745273559,06:12:39,1,39
1745273560,06:12:40,1,39
1745273561,06:12:41,1,39
1745273562,06:12:42,1,39
1745273563,06:12:43,1,39
1745273564,06:12:44,1,38
1745273565,06:12:45,1,38
1745273566,06:12:46,1,38
1745273567,06:12:47,1,38
1745273568,06:12:48,1,38
1745273569,06:12:49,1,38
1745273570,06:12:50,1,38
1745273571,06:12:51,1,39
1745273572,06:12:52,1,39
1745273573,06:12:53,1,38
1745273574,06:12:54,1,39
1745273575,06:12:55,1,38
1745273576,06:12:56,1,38
1745273577,06:12:57,1,38
1745273578,06:12:58,1,38
1745273579,06:12:59,1,38
1745273580,06:13:00,1,38
1745273581,06:13:01,1,38
1745273582,06:13:02,1,38
1745273583,06:13:03,1,38
